Borough,Price
City of London,570009
Barking and Dagenham,173734
Barnet,374771
Bexley,213470
Brent,339656
Bromley,296669
Camden,667448
Croydon,234440
Ealing,338089
Enfield,261604
Greenwich,253399
Hackney,372669
Hammersmith and Fulham,631529
Haringey,372234
Harrow,319398
Havering,226429
Hillingdon,270595
Hounslow,290577
Islington,495766
Kensington and Chelsea,1126573
Kingston upon Thames,345739
Lambeth,362966
Lewisham,260815
Merton,344544
Newham,222784
Redbridge,274825
Richmond upon Thames,492116
Southwark,360750
Sutton,252003
Tower Hamlets,309051
Waltham Forest,254265
Wandsworth,457404
Westminster,789972
