Borough,Year,Price,Population,Crime,Income
Barking and Dagenham,2010,166560,40,32,23100
Barking and Dagenham,2011,163465,41,29,22500
Barking and Dagenham,2012,165864,42,28,22800
Barking and Dagenham,2013,173734,43,26,23700
Barking and Dagenham,2014,201172,43,26,24600
Barking and Dagenham,2015,233460,44,28,25500
Barking and Dagenham,2016,273920,44,28,25900
Barking and Dagenham,2017,287735,45,30,26700
Barking and Dagenham,2018,295197,46,29,27400
Barking and Dagenham,2019,298338,46,32,28800
Barking and Dagenham,2020,302143,47,31,29400
Barking and Dagenham,2021,316508,47,32,30800
Barking and Dagenham,2022,343440,48,35,31800
Barking and Dagenham,2023,343340,48,37,32500
Barnet,2010,333128,38,40,41600
Barnet,2011,338978,38,41,38800
Barnet,2012,358627,39,40,39200
Barnet,2013,374771,39,36,41000
Barnet,2014,430363,40,36,45500
Barnet,2015,478688,40,39,45800
Barnet,2016,525940,40,40,49000
Barnet,2017,538281,41,42,48600
Barnet,2018,533266,41,44,49500
Barnet,2019,520524,42,50,51600
Barnet,2020,525780,42,43,51600
Barnet,2021,550729,42,43,54400
Barnet,2022,587623,43,47,59100
Barnet,2023,584510,43,50,62300
Bexley,2010,200874,70,23,27600
Bexley,2011,200672,72,20,27400
Bexley,2012,202546,73,20,28300
Bexley,2013,213470,74,19,28600
Bexley,2014,244460,74,20,29600
Bexley,2015,274209,75,20,30200
Bexley,2016,321564,76,22,30900
Bexley,2017,335694,77,24,32300
Bexley,2018,342604,78,25,33500
Bexley,2019,336988,79,30,34600
Bexley,2020,343045,80,25,36000
Bexley,2021,366010,80,25,36400
Bexley,2022,394396,81,29,38000
Bexley,2023,390222,81,31,40100
Brent,2010,289562,21,48,26100
Brent,2011,298964,21,49,26700
Brent,2012,314113,21,46,27400
Brent,2013,339656,21,40,28300
Brent,2014,394687,21,41,29700
Brent,2015,440952,22,42,31200
Brent,2016,489469,22,45,32600
Brent,2017,487704,22,49,34100
Brent,2018,492845,22,50,35400
Brent,2019,474732,22,50,36300
Brent,2020,485851,22,47,37800
Brent,2021,513736,23,46,40400
Brent,2022,540491,23,53,44100
Brent,2023,537189,23,55,46000
Bromley,2010,271049,98,35,36500
Bromley,2011,274874,101,35,35900
Bromley,2012,282025,103,33,36400
Bromley,2013,296669,105,31,37200
Bromley,2014,347857,108,32,39000
Bromley,2015,385682,111,34,40400
Bromley,2016,428008,113,33,43500
Bromley,2017,441219,114,36,44000
Bromley,2018,443410,116,37,45500
Bromley,2019,436486,117,40,46600
Bromley,2020,434760,118,35,48200
Bromley,2021,465972,119,36,49300
Bromley,2022,497923,120,40,54500
Bromley,2023,498780,120,43,55300
Camden,2010,513221,25,51,68900
Camden,2011,554393,26,54,67100
Camden,2012,586166,25,51,69300
Camden,2013,667448,24,44,71200
Camden,2014,756486,24,41,78900
Camden,2015,787441,25,44,79200
Camden,2016,807119,26,43,85000
Camden,2017,839348,26,55,88000
Camden,2018,842410,26,51,92600
Camden,2019,843067,27,58,87400
Camden,2020,829863,28,41,96900
Camden,2021,836070,28,39,107000
Camden,2022,859340,28,60,119000
Camden,2023,853200,29,69,122000
City of London,2010,453662,51,5,137000
City of London,2011,463931,52,6,127000
City of London,2012,525328,53,5,117000
City of London,2013,570009,54,4,131000
City of London,2014,709385,55,5,151000
City of London,2015,760253,56,5,144000
City of London,2016,818316,57,6,142000
City of London,2017,849790,58,6,157000
City of London,2018,784809,59,6,148000
City of London,2019,797505,60,6,142000
City of London,2020,829379,60,3,128000
City of London,2021,812465,61,3,142000
City of London,2022,886889,62,8,167000
City of London,2023,908676,63,9,175000
Croydon,2010,218639,41,51,29700
Croydon,2011,215428,42,50,29000
Croydon,2012,221817,43,51,29700
Croydon,2013,234440,43,45,30700
Croydon,2014,274827,44,45,31800
Croydon,2015,307064,44,46,32600
Croydon,2016,355847,44,47,34200
Croydon,2017,372554,45,48,33800
Croydon,2018,370298,45,49,35600
Croydon,2019,365678,46,53,36500
Croydon,2020,374985,46,52,37800
Croydon,2021,395147,47,52,38300
Croydon,2022,418318,47,60,40900
Croydon,2023,411981,48,60,42500
Ealing,2010,292825,60,56,32400
Ealing,2011,302307,61,51,30700
Ealing,2012,318698,61,48,32000
Ealing,2013,338089,62,42,32600
Ealing,2014,400039,62,40,34500
Ealing,2015,438311,62,42,35300
Ealing,2016,476441,62,44,37000
Ealing,2017,484592,62,45,37300
Ealing,2018,480051,63,44,39700
Ealing,2019,472620,64,50,39800
Ealing,2020,479629,65,46,42700
Ealing,2021,506266,67,46,44100
Ealing,2022,525323,68,53,46800
Ealing,2023,507196,70,57,47900
Enfield,2010,242127,38,36,30600
Enfield,2011,241991,39,36,29000
Enfield,2012,247667,39,35,30400
Enfield,2013,261604,40,34,30800
Enfield,2014,294516,40,35,32900
Enfield,2015,335504,41,35,34400
Enfield,2016,385490,41,36,34600
Enfield,2017,395929,42,39,34600
Enfield,2018,396632,42,43,36200
Enfield,2019,392674,42,47,37200
Enfield,2020,395992,42,45,39500
Enfield,2021,424015,43,45,40700
Enfield,2022,446891,43,50,42800
Enfield,2023,440723,44,49,45800
Greenwich,2010,229069,53,39,32800
Greenwich,2011,229295,54,35,30000
Greenwich,2012,236981,55,34,31000
Greenwich,2013,253399,56,31,31500
Greenwich,2014,298352,57,32,34200
Greenwich,2015,331849,58,34,34800
Greenwich,2016,372738,59,37,37300
Greenwich,2017,391750,60,40,37500
Greenwich,2018,388344,60,40,40200
Greenwich,2019,393279,61,45,41300
Greenwich,2020,395397,62,40,44700
Greenwich,2021,405292,62,42,46400
Greenwich,2022,425402,63,50,48900
Greenwich,2023,423549,64,52,50400
Hackney,2010,300491,127,47,29800
Hackney,2011,308698,130,43,29500
Hackney,2012,325493,133,46,31200
Hackney,2013,372669,135,42,32700
Hackney,2014,456388,138,40,36300
Hackney,2015,506799,141,44,37100
Hackney,2016,537746,144,47,40200
Hackney,2017,549006,146,51,40600
Hackney,2018,544640,148,50,43100
Hackney,2019,554933,150,55,44900
Hackney,2020,582295,152,49,47200
Hackney,2021,593868,153,50,49400
Hackney,2022,627345,154,55,52500
Hackney,2023,622262,156,56,53600
Hammersmith and Fulham,2010,502256,110,39,52900
Hammersmith and Fulham,2011,518574,112,37,52000
Hammersmith and Fulham,2012,567082,110,36,52700
Hammersmith and Fulham,2013,631529,109,31,54300
Hammersmith and Fulham,2014,721100,109,31,61300
Hammersmith and Fulham,2015,760834,110,33,62000
Hammersmith and Fulham,2016,755098,110,33,69700
Hammersmith and Fulham,2017,756900,111,35,66600
Hammersmith and Fulham,2018,725525,112,35,73200
